time,ax,ay,az
5.1,0.438262,0.779686,0.119878
5.12,0.877986,2.593912,-0.234217
5.14,0.529843,3.711774,-0.161577
5.16,0.520168,4.407426,-0.145922
5.18,0.520187,4.152567,-0.590866
5.2,0.549263,2.941827,-0.746987
5.22,0.189804,1.759213,-0.492904
5.24,0.359884,0.845177,-0.93967
5.26,0.073115,0.675534,-0.868475
5.28,0.202485,0.230016,-0.772294
5.3,0.112201,0.41603,-0.457962
5.32,-0.553454,1.233667,-0.537127
5.34,-0.26459,1.004157,-0.647896
5.36,-0.565843,1.806924,-0.324832
5.38,-0.582275,1.429258,-0.071943
5.4,-0.716387,1.347188,0.255158
5.42,-0.384634,0.71977,0.291387
5.44,-0.572067,0.410332,0.485152
5.46,-0.763702,0.292085,0.484423
5.48,-0.596095,-0.23264,0.89293
5.5,-0.373763,0.257805,0.820084
5.52,-0.490328,-0.20903,0.913688
5.54,-0.219866,-0.216277,0.753094
5.56,0.003602,-0.201482,0.671343
5.58,0.091997,-0.511586,0.699234
5.6,0.167346,0.29647,0.323104
5.62,0.162667,0.389883,0.104402
5.64,0.394377,0.622891,0.121819
5.66,0.306726,1.321219,-0.037502
5.68,0.78459,2.643336,0.267809
5.7,0.351932,3.830383,-0.517185
5.72,0.748326,4.657597,-0.395523
5.74,0.40551,3.915103,-0.93861
5.76,0.698933,2.944581,-0.766508
5.78,0.480389,1.707773,-0.637253
5.8,-0.022656,0.586254,-0.770472
5.82,0.143449,0.633818,-0.926583
5.84,-0.026115,0.997041,-0.6075
5.86,-0.047641,0.905352,-0.495908
5.88,-0.031575,1.369078,-0.296088
5.9,-0.541999,1.813357,-0.188247
5.92,-0.611158,2.015324,-0.252861
5.94,-0.681383,1.600055,0.318253
5.96,-0.547904,1.386995,0.097263
5.98,-0.586056,0.521521,0.289397
6.0,-0.445288,0.393955,0.74168
6.02,-0.544878,0.139727,0.837716
6.04,-0.529478,-0.2366,0.93071
6.06,-0.265708,-0.411755,0.794032
6.08,-0.267354,0.354626,0.689724
6.1,-0.162315,-0.180815,0.611976
6.12,-0.044857,-0.285771,0.547183
6.14,-0.048422,-0.289859,0.363932
6.16,0.236931,-0.086466,0.279474
6.18,0.493331,0.193593,0.240598
6.2,0.437001,0.952439,0.167758
6.22,0.637101,1.008531,-0.146597
6.24,0.270516,2.748742,-0.17039
6.26,0.495022,4.165837,-0.546115
6.28,0.652165,4.182699,-0.578265
6.3,0.569568,3.944802,-0.67695
6.32,0.712547,2.45478,-0.810843
6.34,-0.098821,1.678633,-0.846014
6.36,0.016164,0.886148,-0.612527
6.38,0.076466,0.152085,-0.701548
6.4,-0.168409,0.384829,-0.535487
6.42,-0.526675,1.118566,-0.515433
6.44,-0.020185,1.50431,-0.755675
6.46,-0.557604,1.755876,-0.233382
6.48,-0.367394,1.384706,-0.161407
6.5,-0.425155,1.832462,0.347742
6.52,-0.656213,1.318872,0.502354
6.54,-0.414566,0.812061,0.534263
6.56,-0.67908,0.051343,0.701125
6.58,-0.550418,0.140793,0.582285
6.6,-0.469664,0.099475,0.597121
6.62,-0.291899,0.065305,0.781874
6.64,-0.289769,0.161442,1.077025
6.66,-0.135383,0.247779,0.891612
6.68,-0.307852,-0.150026,0.58631
6.7,0.33814,0.051878,0.641581
6.72,0.435803,-0.109662,0.318113
6.74,0.259075,0.23353,0.249992
6.76,0.547791,0.642487,0.227952
6.78,0.71268,2.099776,0.0181
6.8,0.626643,3.274053,-0.17319
6.82,0.494239,4.506161,-0.169448
6.84,0.851589,4.443596,-0.519393
6.86,0.552257,3.57758,-0.587008
6.88,0.38143,2.199493,-0.493284
6.9,0.31376,1.132502,-0.663486
6.92,0.186321,0.599486,-0.803438
6.94,-0.152916,0.447378,-0.922104
6.96,-0.073491,0.4559,-0.533443
6.98,-0.122439,1.159667,-0.571165
7.0,-0.290226,1.131223,-0.577531
7.02,-0.474861,1.845741,-0.260738
7.04,-0.680066,1.769541,-0.140028
7.06,-0.739519,1.504284,0.077052
7.08,-0.420101,1.131827,0.393742
7.1,-0.541122,0.414366,0.303744
7.12,-0.769818,0.862514,0.420094
7.14,-0.512415,0.046465,0.648117
7.16,-0.475841,-0.332434,0.613656
7.18,-0.484348,-0.013289,0.694967
7.2,-0.252291,0.046147,0.703757
7.22,0.124736,-0.076621,0.778218
7.24,-0.078969,0.134794,0.599011
7.26,0.309939,0.086687,0.515502
7.28,0.397374,0.019507,0.597576
7.3,0.602451,0.44437,0.052622
7.32,0.371409,0.834261,0.015178
7.34,0.650181,1.895109,0.048128
7.36,0.600492,3.031315,-0.373548
7.38,0.198583,4.236154,-0.543039
7.4,0.451335,4.259767,-0.654735
7.42,0.382713,3.594809,-0.51799
7.44,0.205339,2.202367,-1.012362
7.46,0.140078,1.246699,-1.134835
7.48,0.22078,0.234202,-0.809547
7.5,-0.02703,0.823496,-0.858439
7.52,-0.144915,0.89939,-0.685977
7.54,-0.38558,1.190753,-0.512522
7.56,-0.244007,1.412024,-0.445431
7.58,-0.423332,1.762284,-0.238105
7.6,-0.545447,1.556011,-0.151804
7.62,-0.520251,1.127316,0.323043
7.64,-0.567357,0.644284,0.363223
7.66,-0.557887,0.658131,0.650788
7.68,-0.591268,0.09761,0.517956
7.7,-0.609471,-0.05413,0.752402
7.72,-0.362468,-0.066418,0.663704
7.74,-0.196442,-0.091349,0.643679
7.76,-0.142577,-0.050773,0.623715
7.78,0.139155,0.169907,0.734921
7.8,0.16887,0.110678,0.631585
7.82,0.409442,0.360993,0.523321
7.84,0.454272,0.305983,0.309518
7.86,0.311695,0.627697,-0.044465
7.88,0.81747,1.345813,0.039905
7.9,0.597037,2.723095,-0.309879
7.92,0.425545,3.588374,-0.378355
7.94,0.428259,4.502415,-0.472559
7.96,0.407296,4.483078,-0.830513
7.98,0.261042,3.070555,-0.749902
8.0,0.41533,1.55957,-0.93424
8.02,0.137993,0.656116,-0.721249
8.04,0.03302,0.603579,-0.691789
8.06,0.125943,0.708927,-0.602612
8.08,-0.048293,0.759399,-0.663118
8.1,-0.563571,1.358505,-0.596687
8.12,-0.339375,1.772195,-0.544974
8.14,-0.641879,1.72967,-0.248906
8.16,-0.529993,1.403716,0.015431
8.18,-0.845284,0.818449,0.295047
8.2,-0.794613,0.691435,0.144583
8.22,-0.786444,0.35485,0.44711
8.24,-0.374722,0.287706,0.59499
8.26,-0.328855,0.299048,0.789074
8.28,-0.401309,0.228118,1.048821
8.3,-0.121795,0.360747,0.938778
8.32,0.037193,-0.21653,0.608255
8.34,0.037774,-0.332767,0.622345
8.36,0.308326,-0.125174,0.691031
8.38,0.099486,-0.056367,0.633201
8.4,0.442005,0.234294,0.579588
8.42,0.692878,0.390424,0.349258
8.44,0.468311,1.398172,-0.026172
8.46,0.755233,2.453786,-0.139253
8.48,0.676282,4.1154,-0.406621
8.5,0.721146,4.358202,-0.351927
8.52,0.567352,3.675509,-0.585025
8.54,0.459081,2.61891,-0.845957
8.56,0.291808,1.149537,-0.533744
8.58,0.037544,0.539861,-0.627338
8.6,0.162955,0.582426,-0.542578
8.62,-0.107038,0.376804,-0.575222
8.64,-0.073124,0.891353,-0.78772
8.66,-0.129232,1.509378,-0.669465
8.68,-0.304597,1.432609,-0.377789
8.7,-0.675093,1.660484,-0.256783
